University Name,State,Degree (MS),Degree (Phd),Economics Ranking,Humanities Ranking,Science Ranking,Business Ranking,Computer Science Ranking,Art Management Ranking,Engineering ,Psychology
University of Alabama in Huntsville(In-State),AL,Master,1,>150,>150,122,>150,135,>150,132,>150
West Virginia University (WVU) - Main Campus(In-State),WV,Master,1,>150,110,123,>150,125,119,>150,134
Northwestern University - Kellogg School of Management(Private),IL,Master,1,93,30,125,>150,>150,>150,58,20
California State University - San Bernardino (CSUSB)(Out-of-State),CA,Master,1,>150,>150,126,>150,>150,>150,>150,>150
University of Louisiana (UL) at Lafayette(Out-of-State),LA,Master,1,>150,>150,127,>150,>150,>150,69,>150
University of Mary Washington(In-State),VA,Master,2,>150,85,128,>150,76,>150,>150,94
California State Polytechnic University - Pomona(Out-of-State),CA,Master,2,>150,108,130,>150,>150,>150,142,>150
Florida Agricultural and Mechanical (A&M) University (FAMU)(In-State),FL,Master,2,>150,>150,131,>150,>150,>150,>150,>150
Texas State University - San Marcos Campus(In-State),TX,Master,1,>150,>150,132,>150,>150,>150,>150,>150
Montclair State University(Out-of-State),NJ,Master,1,>150,>150,133,>150,>150,>150,>150,>150
California Institute of Technology (Caltech)(Private),CA,Master,2,>150,>150,134,>150,>150,>150,81,>150
Western Washington University(In-State),WA,Master,1,126,>150,135,>150,78,98,>150,50
University of Utah(Out-of-State),UT,Master,1,>150,>150,136,>150,97,>150,>150,>150
Clemson University(In-State),SC,Master,1,>150,>150,137,>150,>150,>150,>150,>150
Salisbury University(In-State),MD,Master,1,>150,>150,138,>150,>150,>150,>150,>150
Southwest Missouri State University (SMSU)(In-State),MO,Master,2,>150,>150,139,>150,>150,>150,>150,>150
California State University - Northridge (CSUN)(Out-of-State),CA,Master,1,>150,>150,141,>150,58,63,>150,>150
The Richard Stockton College of New Jersey(In-State),NJ,Master,2,>150,>150,142,>150,>150,>150,>150,>150
California State University - Fresno (Fresno State)(Out-of-State),CA,Master,1,>150,>150,143,>150,89,>150,>150,110
Humboldt State University(In-State),CA,Master,2,>150,>150,144,>150,>150,>150,>150,>150
Millersville University of Pennsylvania(In-State),PA,Master,1,>150,>150,145,>150,>150,>150,>150,>150
Shippensburg University of Pennsylvania(In-State),PA,Master,1,>150,>150,146,>150,>150,>150,>150,>150
California State University - Long Beach (CSULB)(Out-of-State),CA,Master,1,143,>150,150,>150,>150,109,>150,66
Princeton University(Private),NJ,Master,2,3,1,>150,>150,>150,>150,6,>150
Washington and Lee University(Private),VA,Master,1,5,6,>150,>150,>150,>150,>150,>150
University of Chicago(Private),IL,Master,1,9,>150,>150,>150,>150,>150,>150,130
Colgate University(Private),NY,Master,2,14,18,>150,>150,>150,>150,>150,>150
Rice University(Private),TX,Master,1,16,105,>150,>150,131,>150,11,>150
Brandeis University(Private),MA,Master,1,22,55,>150,>150,>150,>150,>150,77
DePauw University(Private),IN,Master,2,24,>150,>150,>150,>150,>150,>150,>150
Tulane University(Private),LA,Master,1,30,>150,>150,>150,>150,>150,>150,>150
Hunter College(In-State),NY,Master,1,35,100,>150,>150,79,21,>150,79
University of Missouri - Columbia(In-State),MO,Master,1,38,>150,>150,>150,>150,88,>150,144
Trinity College(Private),CT,Master,1,40,>150,>150,>150,>150,>150,>150,59
Hunter College(Out-of-State),NY,Master,1,43,135,>150,>150,110,35,>150,99
